pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature
toi-125 b,0.2432,0.0299,4.65382,0.194,TOI-125,0.859,0.848,5320.0,111.4,23.59345834081,-66.6763333544,2019,Primary Transit,
toi-125 c,0.24614,0.02086,9.15059,0.066,TOI-125,0.859,0.848,5320.0,111.4,23.59345834081,-66.6763333544,2019,Primary Transit,
toi-125 d,0.2614,0.0428,19.98,0.168,TOI-125,0.859,0.848,5320.0,111.4,23.59345834081,-66.6763333544,2019,Primary Transit,
toi-1260 b,0.215,0.02693,3.127463,0.0,TOI-1260,0.66,0.65,4227.0,73.41,157.145833345,65.854166687,2021,Primary Transit,
toi-1260 c,0.2462,0.0415,7.493134,0.0,TOI-1260,0.66,0.65,4227.0,73.41,157.145833345,65.854166687,2021,Primary Transit,
toi-1260 d,0.2783,0.03725,16.608,0.0,TOI-1260,0.66,0.65,4227.0,73.41,157.145833345,65.854166687,2022,Primary Transit,
toi-1266 b,0.2337,0.01381,10.894841,0.22,TOI-1266,0.45,0.42,3600.0,36.05,197.995833353,65.833611128,2020,Primary Transit,
toi-1266 c,0.19,0.00934,18.801611,0.34,TOI-1266,0.45,0.42,3600.0,36.05,197.995833353,65.833611128,2020,Primary Transit,
toi-1266 d,,,32.509,0.087,TOI-1266,0.45,0.42,3600.0,36.05,197.995833353,65.833611128,2023,Radial Velocity,
toi-1268 b,0.82,0.29,8.1577094,0.09,TOI-1268,0.96,0.92,5200.0,110.0,198.387500011,62.305555566,2022,Primary Transit,
toi-1269 b,0.2025,0.0201,4.2529913,0.0,TOI-1269,,,5517.0,172.14,249.69625,64.55916666666667,2024,Primary Transit,
toi-1269 c,0.1989,0.0214,9.237885,0.0,TOI-1269,,,5517.0,172.14,249.69625,64.55916666666667,2024,Primary Transit,
toi-1272 b,0.3693,0.0774,3.31599,0.338,TOI-1272,,,,,199.1966,49.86104,2022,Primary Transit,
toi-1272 c,,,8.689,0.35,TOI-1272,,,,,199.1966,49.86104,2022,Radial Velocity,
toi-1273 b,0.99,0.222,4.631296,0.055,TOI-1273,1.06,1.06,5690.0,176.0,214.120875,58.39024722222222,2024,Primary Transit,
toi-1279 b,0.2373,0.0334,9.614216,,TOI-1279,0.96,0.84,5477.0,107.055,185.062500005,56.201388894,2023,Primary Transit,
toi-1288 b,0.4675,0.132,2.6998,0.064,TOI-1288,0.89,1.01,5225.0,114.7,313.16666668,65.608888908,2019,Primary Transit,
toi-1288 c,,,443.0,0.13,TOI-1288,0.89,1.01,5225.0,114.7,313.16666668,65.608888908,2022,Radial Velocity,
toi-128 ab,0.1981,,4.9404764,,TOI-128 A,0.85,1.13,6060.0,68.47,79.52083333333333,-80.96436111111112,2024,Primary Transit,
toi-1291 b,0.45089,,7.16199,,TOI-1291,1.2,1.81,6230.0,428.123,245.818,62.92512222222222,2019,Primary Transit,
toi-1294 b,0.8199,0.1957,3.91529,0.07,TOI-1294,1.02,1.581,5714.0,332.648,223.0928863836,70.47656792682,2024,Primary Transit,
toi-1294 c,,0.4666,160.1,0.1,TOI-1294,1.02,1.581,5714.0,332.648,223.0928863836,70.47656792682,2024,Radial Velocity,
toi-1295 b,1.4,1.42,3.1968838,0.024,TOI-1295,1.32,1.74,6269.0,388.23,256.67225,67.87146388888888,2024,Primary Transit,
toi-1296 b,1.231,,3.9443715,0.055,TOI-1296,1.17,1.664,5603.0,313.7,256.770833335,70.23861112,2021,Primary Transit,
toi-1298 b,0.841,0.356,4.537164,0.032,TOI-1298,1.44,1.412,5889.0,319.0,241.325000006,70.189722231,2021,Primary Transit,
toi-132 ab,0.3051,0.0705,2.1097019,0.059,TOI-132 A,0.97,0.9,5397.0,164.47,338.400000012,-43.436666678,2019,Primary Transit,
toi-1333 ab,1.396,2.37,4.720219,0.073,TOI-1333 A,1.464,1.925,6274.0,200.4,325.016666668,48.406944458,2021,Primary Transit,
toi-1338 (ab)b,0.5986,0.069,95.174,0.088,TOI-1338,,3.1,5723.0,399.0,92.133333344,-59.541111128,2020,Primary Transit,
toi-1338 (ab)c,,,215.5,0.16,TOI-1338,,3.1,5723.0,399.0,92.133333344,-59.541111128,2023,Radial Velocity,
toi-1346 b,0.1989,,5.502558,,TOI-1346,0.82,0.78,5099.0,114.66,256.62266666666665,68.84330277777778,2025,Primary Transit,
toi-1346 c,0.2935,,1.7622538,,TOI-1346,0.82,0.78,5099.0,114.66,256.62266666666665,68.84330277777778,2025,Primary Transit,
toi-1347 b,0.161,0.0384,0.847423431,0.0,TOI-1347,0.913,0.83,5464.0,147.5,280.32666666666665,70.29005277777777,2024,Primary Transit,
toi-1347 c,0.143,0.0088,4.841962,0.0,TOI-1347,0.913,0.83,5464.0,147.5,280.32666666666665,70.29005277777777,2024,Primary Transit,
