pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
hat-p-63 b,13.62393371,,3.37774192505,,HAT-P-63,,1.0408,5080.0,403.458,269.5720695,5.7613709,2021.0,Transit,1118.89,K
hat-p-68 b,13.70588688,,2.29840578875,,HAT-P-68,,0.794584,4221.54,202.152,118.4831501,23.9382192,2020.0,Transit,963.63,K
hats-15 b,20.82300689,,1.7476330451,,HATS-15,,1.61423,5122.0,1139.55,311.0920041,-19.4375266,2016.0,Transit,1746.99,K
hats-2 b,13.092,427.463,1.354133,0.0,HATS-2,0.882,0.898,5227.0,341.925,176.7388264,-22.5630097,2013.0,Transit,1577.0,K
hats-22 b,10.682177,870.8542,4.7228124,0.079,HATS-22,0.759,0.689,4803.0,229.518,174.0098693,-29.5433642,2017.0,Transit,858.0,K V
hats-44 b,11.960003,177.9848,2.7439004,0.279,HATS-44,0.86,0.847,5080.0,446.035,84.3267559,-27.9725758,2018.0,Transit,1161.0,K
hats-47 b,,,3.9228038,,HATS-47,0.674,0.6564,4512.0,300.67,287.4844021,-49.6649424,2020.0,Transit,,K
hats-48 a b,8.9672,77.23269,3.1316666,0.162,HATS-48 A,0.7279,0.7152,4546.0,263.609,288.6720048,-59.5793505,2020.0,Transit,954.6,K
hats-49 b,8.62854045,,4.14703592335,,HATS-49,,0.775548,4247.0,324.413,6.6135927,-56.3442798,2020.0,Transit,786.72,K
hats-69 b,,,2.2252577,,HATS-69,0.892,0.8785,5137.0,414.537,289.2974275,-60.8917599,2018.0,Transit,,K
hats-7 b,6.310667,38.1396,3.185315,0.17,HATS-7,0.849,0.815,4985.0,240.707,208.8567465,-21.2078587,2015.0,Transit,1084.0,K2
hats-72 b,9.49027,,7.327945,,HATS-72,,0.79,4521.0,127.589,339.0258401,-17.0003046,2020.0,Transit,697.0,K
hats-77 b,13.05846252,436.69623122,3.0876262,0.045,HATS-77,0.655,0.6428,4071.0,436.176,149.8236672,-27.3928174,2021.0,Transit,828.3,K
hd 100508 b,,381.3940884,5681.0,0.42,HD 100508,0.94,,5419.0,32.7548,173.3014057,-67.0546386,2026.0,Radial Velocity,,K1 IV
hd 101581 b,0.956,,4.46569,,HIP 56998,0.653,0.63,4675.0,12.7781,175.2563039,-44.4041485,2025.0,Transit,834.0,K
hd 101581 c,0.99,,6.20401,,HIP 56998,0.653,0.63,4675.0,12.7781,175.2563039,-44.4041485,2025.0,Transit,747.0,K
hd 101930 b,,95.34,70.46,0.11,HD 101930,0.74,,5079.0,30.0274,175.875608,-58.0053798,2005.0,Radial Velocity,,K1 V
hd 102272 b,,1570.0802,127.58,0.05,HD 102272,1.45,10.3,4790.0,347.097,176.5980316,14.1240201,2008.0,Radial Velocity,,K
hd 102329 b,,2593.4928,778.09998,0.21,HD 102329,3.21,9.82,4745.0,217.107,176.6941567,3.4742143,2011.0,Radial Velocity,,K
hd 102843 b,,113.9,3090.942,0.11,HD 102843,0.95,,5436.0,62.758,177.5854673,-1.2522989,2019.0,Radial Velocity,,K0 V
hd 102956 b,,292.4036,6.4948,0.05,HD 102956,1.59,4.41,4994.0,121.89,177.8436988,57.6406584,2010.0,Radial Velocity,,K
hd 103197 b,,28.6047,47.84,0.0,HD 103197,0.8,0.88,5250.0,57.1463,178.2201971,-50.2927911,2009.0,Radial Velocity,,K
hd 103720 b,,197.046,4.5557,0.086,HD 103720,0.794,0.73,5017.0,45.5352,179.1713308,-2.7791393,2014.0,Radial Velocity,,K3 V
hd 103949 b,,11.2,120.878,0.19,HD 103949,0.77,,4792.0,26.4997,179.5479558,-23.9241221,2019.0,Radial Velocity,,K3 V
