pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
kepler-582 b,3.68,,18.49235668,,Kepler-582,0.93,0.91,5564.0,613.179,297.503718,41.0570326,2016.0,Transit,,G
kepler-583 b,2.28,,6.5100253,,Kepler-583,0.94,0.91,5523.0,867.271,282.1113206,42.3545514,2016.0,Transit,,G
kepler-585 b,3.64,,2.752359753,0.0,Kepler-585,0.994,1.17,5749.0,585.187,286.5284924,43.8733751,2016.0,Transit,1400.0,G
kepler-586 b,2.89,,2.104721971,0.0,Kepler-586,1.091,0.975,5703.0,693.766,293.0571982,45.5511266,2016.0,Transit,1365.0,G
kepler-587 b,2.08,,10.94026745,0.0,Kepler-587,0.961,0.864,5749.0,787.894,288.6706571,47.3991249,2016.0,Transit,764.0,G
kepler-588 b,,,4.22162342,,Kepler-588,1.03,1.2826,5742.0,1209.4,284.2572531,47.6889081,2016.0,Transit,,G
kepler-589 b,2.4,,16.549414,0.0,Kepler-589,0.8,0.87,5337.0,612.803,280.6414331,47.7520581,2016.0,Transit,638.0,G
kepler-59 c,2.144,,17.9776157,,Kepler-59,0.93,1.338,5884.0,1163.22,287.0394932,46.6401677,2012.0,Transit,,G
kepler-590 b,,,5.8529635546,,Kepler-590,1.04,1.71547,5799.81,1421.81,296.3855467,48.2334177,2016.0,Transit,,G
kepler-591 b,,,81.16951302,,Kepler-591,0.99,0.976707,5583.99,785.137,286.024052,48.431729,2016.0,Transit,,G
kepler-593 b,,,21.21712312,,Kepler-593,1.07,1.04777,5902.23,973.76,294.9513923,48.6511709,2016.0,Transit,,G
kepler-594 b,2.248,,,,Kepler-594,,0.904,5566.0,769.2,288.9217259,49.7620237,2016.0,Transit,,G
kepler-596 b,3.375,,,,Kepler-596,,1.319,5984.0,1023.85,289.5006797,51.6857106,2016.0,Transit,,G
kepler-597 b,,,13.02363236,,Kepler-597,1.0,1.00322,5652.97,663.418,293.4700919,39.2528182,2016.0,Transit,,G
kepler-6 b,14.616536,212.31044,3.2346996,,Kepler-6,1.209,1.391,5647.0,587.039,296.8372475,48.2399695,2009.0,Transit,1460.0,G
kepler-60 c,2.47,,8.9193459,,Kepler-60,1.11,1.5,5915.0,1025.1,288.9612535,42.2650472,2012.0,Transit,,G
kepler-60 d,1.52,,11.8984932,,Kepler-60,1.09,1.28,5961.0,1025.1,288.9612535,42.2650472,2012.0,Transit,,G
kepler-602 b,,,15.28467725,,Kepler-602,0.98,1.57201,5554.67,1159.31,296.0318985,42.1418634,2016.0,Transit,,G
kepler-603 b,2.35,,21.05358596,0.0,Kepler-603,0.983,0.906,5960.0,1539.63,294.2809679,42.2909295,2016.0,Transit,650.0,G
kepler-603 c,,,127.909809185,,Kepler-603,1.05,1.54113,5825.0,1539.63,294.2809679,42.2909295,2016.0,Transit,,G
kepler-603 d,1.22,,6.2171292,0.0,Kepler-603,0.983,0.906,5960.0,1539.63,294.2809679,42.2909295,2016.0,Transit,976.0,G
kepler-604 b,,,25.8550459904,,Kepler-604,1.04,1.10571,5787.0,1026.49,292.3159795,42.6262429,2016.0,Transit,,G
kepler-605 b,1.33,,3.383538066,0.0,Kepler-605,0.92,0.82,5438.0,556.58,287.2954015,43.2798677,2016.0,Transit,1049.0,G
kepler-605 c,0.8,,2.358951515,0.0,Kepler-605,0.92,0.82,5438.0,556.58,287.2954015,43.2798677,2016.0,Transit,1183.0,G
kepler-609 b,3.036,,,,Kepler-609,,1.074,5836.0,1065.82,292.2203009,44.6999902,2016.0,Transit,,G
kepler-610 b,,,6.9969254384,,Kepler-610,0.99,0.942016,5581.0,845.824,293.1713241,45.0655934,2016.0,Transit,,G
kepler-610 c,2.63,,151.86392,0.0,Kepler-610,1.01,0.893,5713.0,845.824,293.1713241,45.0655934,2016.0,Transit,318.0,G
