pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
toi-237 b,,,5.436147,,TOI-237,0.179,0.211,3212.0,38.0749,353.2435381,-29.416487,2020.0,Transit,,M4.5 V
toi-237 c,1.206,,1.74486147,,TOI-237,0.1698,0.2056,3226.0,38.0749,353.2435381,-29.416487,2026.0,Transit,515.0,M
toi-2379 b,11.57792161,,5.46938875417,,TOI-2379,,0.638902,3770.0,211.247,358.0920465,-53.043156,2024.0,Transit,584.25,M
toi-2384 b,11.62641524,,2.13570257297,,TOI-2384,,0.666652,3678.2,191.51,36.1561463,-65.0001957,2024.0,Transit,799.55,M
toi-2406 b,2.86,15.6,3.0766891,0.17,TOI-2406,0.166,0.204,3100.0,55.419,8.8060544,-3.3720833,2021.0,Transit,449.0,M
toi-2407 b,3.79423915,,2.70291867531,,TOI-2407,,0.524573,3596.0,92.4366,49.746545,-46.458025,2025.0,Transit,657.1,M
toi-244 b,1.27111313,,7.39721598356,,TOI-244,,0.407103,3342.0,22.0337,10.5697537,-36.7179743,2023.0,Transit,409.94,M
toi-2445 b,1.25,,0.3711281,,TOI-2445,0.25,0.27,3333.0,48.582,43.3161555,0.0523366,2022.0,Transit,1060.0,M
toi-2453 b,3.00147766,,4.44142754516,,TOI-2453,,0.502498,3609.0,81.9043,74.8374845,12.9363528,2026.0,Transit,550.78,M
toi-269 b,2.94204396,,3.69771670923,,TOI-269,,0.397924,3607.0,57.0225,75.8462827,-54.1777213,2021.0,Transit,533.84,M
toi-270 b,1.28,1.49,3.36,,TOI-270,0.362,0.374,,22.4793,68.4160804,-51.9573937,2019.0,Transit,585.0,M3 V
toi-270 c,2.36259553,,5.66047732509,,TOI-270,,0.374358,3551.0,22.4793,68.4160804,-51.9573937,2019.0,Transit,729.69,M
toi-270 d,2.02340091,,11.37969912166,,TOI-270,,0.374358,3551.0,22.4793,68.4160804,-51.9573937,2019.0,Transit,485.37,M
toi-277 b,4.25566447,,3.99344182705,,TOI-277,,0.523113,3748.0,64.6692,19.0766985,-20.9532772,2022.0,Transit,587.92,M
toi-3235 b,11.0137,,2.5926199,,TOI-3235,,0.37,3375.0,72.811,207.4738488,-46.0665139,2023.0,Transit,537.0,M
toi-3629 b,8.29464572,77.2323029,3.9365578,0.056,TOI-3629,0.635,0.6103,3865.0,130.091,359.7933851,39.3142556,2022.0,Transit,711.0,M
toi-3714 b,11.14172682,218.98377242,2.15484802,0.047,TOI-3714,0.522,0.4958,3652.0,112.71,69.5523415,39.4580035,2022.0,Transit,764.0,M
toi-3785 b,5.14,14.95,4.6747373,0.11,TOI-3785,0.52,0.5,3576.0,79.7634,130.9002258,63.0780768,2023.0,Transit,582.0,M2 V
toi-3884 b,6.0,16.5,4.5445697,0.32,TOI-3884,0.2813,0.3043,3269.0,43.1448,181.5718341,12.5070258,2022.0,Transit,463.0,M4
toi-3984 a b,7.9,44.0,4.353326,0.23,TOI-3984 A,0.49,0.47,3476.0,108.883,226.3371468,36.7869747,2023.0,Transit,563.0,M4+/-0.5
toi-406 c,1.32,2.08,3.307441,0.032,TOI-406,0.408,0.41,3392.0,31.0597,49.2626428,-42.2441492,2024.0,Transit,584.0,M3
toi-406.01,2.08,6.57,13.175682,0.056,TOI-406,0.408,0.41,3392.0,31.0597,49.2626428,-42.2441492,2024.0,Transit,368.0,M3
toi-4184 b,2.55541453,,4.90199383996,,TOI-4184,,0.240807,3147.0,69.3649,43.8284749,-79.4147039,2023.0,Transit,382.4,M
toi-4336 a b,2.12,,16.336334,,TOI-4336 A,0.331,0.328,3298.0,22.5455,206.1070129,-40.3373505,2024.0,Transit,308.0,M3.5+/-0.5
toi-4336 a c,1.251,1.55,7.587266,0.0,TOI-4336 A,0.306,0.326,3307.0,22.5455,206.1070129,-40.3373505,2026.0,Transit,399.5,M3.5 V
toi-4342 b,2.266,,5.5382498,,TOI-4342,0.6296,0.599,3901.0,61.5204,324.3894196,-77.9791468,2023.0,Transit,633.6,M0 V
toi-4342 c,2.46422452,,10.68860835067,,TOI-4342,,0.598175,3883.0,61.5204,324.3894196,-77.9791468,2023.0,Transit,469.88,M
toi-4364 b,2.01,,5.424019,0.29,TOI-4364,0.487,0.4684,3528.0,43.9662,80.066927,-4.2392481,2025.0,Transit,488.0,M4 V
toi-4438 b,2.52,5.4,7.44628,0.14,TOI-4438,0.368,0.372,3422.0,30.0346,270.3172389,35.5948992,2024.0,Transit,435.0,M3.5 V
toi-4479 b,2.68297219,,1.15890129424,,TOI-4479,,0.427389,3449.0,80.6532,316.0969388,24.6536739,2022.0,Transit,781.57,M
toi-4527.01,0.9086617,,0.3994445,,TOI-4527,0.483901,0.485948,3702.0,18.1037,19.4722574,5.4711996,2024.0,Transit,1362.93,M
toi-4529 b,1.87212186,,5.87957519379,,TOI-4529,,0.492759,3611.0,28.384,16.9688462,12.8809549,2026.0,Transit,498.62,M
toi-4552 b,1.11,1.83,0.30110032,0.0,TOI-4552,0.2619,0.2869,3258.0,27.2684,264.7142556,-47.6370457,2026.0,Transit,1122.0,M4.5 V
toi-4559 b,1.49999347,,3.96490526655,,TOI-4559,,0.426767,3476.0,31.6354,211.0135378,-30.0141252,2024.0,Transit,522.51,M
toi-4666 b,12.53164042,155.41809102,2.9089165,0.023,TOI-4666,0.576,0.585,3793.0,154.749,56.2898862,-39.0631799,2025.0,Transit,695.0,M2&plusmn;0.5
toi-4860 b,8.47398941,212.94503269,1.52275959,0.15,TOI-4860,0.3357,0.348,3390.0,80.1423,183.563961,-13.1748411,2023.0,Transit,624.0,M4.5+/-0.5
toi-5007 b,10.6224,,2.5432595,,TOI-5007,,0.66,3757.0,203.352,236.0638704,-61.0413649,2026.0,Transit,615.0,M
toi-519 b,11.54525012,147.15455244,1.2652328,0.33,TOI-519,0.335,0.35,3322.0,115.557,124.6067582,-19.6627918,2021.0,Transit,687.0,M V
toi-5205 b,10.53644186,343.25467956,1.630731,0.0,TOI-5205,0.394,0.392,3430.0,86.4493,313.7706819,24.360977,2023.0,Transit,742.0,M
toi-521 b,1.96530324,,1.54284863302,,TOI-521,,0.420028,3439.0,60.9425,123.3442567,12.2221079,2025.0,Transit,709.89,M
toi-5292 a b,13.4378,,2.0231137,,TOI-5292 A,,0.59,3767.0,337.095,344.2223631,-8.1197473,2026.0,Transit,680.0,M
toi-5293 a b,11.9,170.4,2.930289,0.38,TOI-5293 A,0.54,0.52,3586.0,162.229,355.828682,-2.0450945,2023.0,Transit,675.0,M3+/-1
toi-530 b,,,6.3875892,,TOI-530,0.53,0.54,3659.0,148.762,103.4128333,12.8815784,2021.0,Transit,,M0.5 V
toi-5319 b,2.83,,4.07853,,TOI-5319,0.5,0.485,3580.0,61.171,35.2135563,23.5204408,2024.0,Transit,695.0,M
toi-5344 b,9.7,135.0,3.792622,0.06,TOI-5344,0.59,0.563,3770.0,138.367,63.2662165,20.9151568,2023.0,Transit,679.0,M
toi-5349 b,10.2,127.4,3.317921,0.03,TOI-5349,0.61,0.58,3751.0,188.336,52.7125703,20.8796279,2026.0,Transit,719.0,M1+/-0.5
toi-5388.01,1.89426,,2.594675,,TOI-5388,0.28572,0.31,3495.0,18.5226,152.1765169,35.5475571,2024.0,Transit,601.35,M
toi-540 b,,,1.2391481,,TOI-540,0.159,0.1895,3216.0,14.0022,76.3096949,-47.9375391,2020.0,Transit,,M V
toi-5486 b,3.96824928,,2.02470073205,,TOI-5486,,0.553216,3750.17,89.6811,190.5495041,3.7886012,2026.0,Transit,,M
toi-5489 b,1.4,,3.15222,,TOI-5489,0.41,0.42,3547.0,45.0907,128.691294,11.4895882,2025.0,Transit,624.0,M
toi-5489 c,1.28,,4.92126,,TOI-5489,0.41,0.42,3547.0,45.0907,128.691294,11.4895882,2025.0,Transit,536.0,M
toi-5573 b,9.75,112.0,8.79758977,0.072,TOI-5573,0.619,0.594,3790.0,186.562,136.4259999,55.3071309,2025.0,Transit,528.0,M
toi-5634 a b,9.6722,,2.2054776,,TOI-5634 A,,0.53,3770.0,306.144,175.6436366,20.9652921,2024.0,Transit,788.0,M
toi-5688 a b,10.3,124.0,2.94815527,0.128,TOI-5688 A,0.6,0.57,3713.0,226.318,266.9231001,47.7050486,2024.0,Transit,742.0,M
toi-5713 b,1.8605473,,10.44198961033,,TOI-5713,,0.292425,3271.0,40.8668,208.4587323,52.6027628,2024.0,Transit,317.82,M
