pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype,star_metallicity,star_gaia_magnitude
kepler-137 b,,,8.43638723,,Kepler-137,0.9,0.858396,5265.0,302.979,282.1355875,43.0391951,2014.0,Transit,,,,12.9414
kepler-137 c,2.15,,18.73575579,0.0,Kepler-137,0.907,0.809,5343.0,302.979,282.1355875,43.0391951,2014.0,Transit,580.0,,0.06,12.9414
kepler-1370 b,2.035,,20.2641684,,Kepler-1370,1.271,1.466,6190.0,1004.1,284.5656897,41.7784781,2016.0,Transit,,,0.22,13.6743
kepler-1370 c,1.382,,7.44142113,,Kepler-1370,1.271,1.466,6190.0,1004.1,284.5656897,41.7784781,2016.0,Transit,,,0.22,13.6743
kepler-1371 b,0.64,,3.4462039,0.0,Kepler-1371,0.68,0.721,5374.0,515.334,288.8314251,47.5519753,2016.0,Transit,1015.0,,-0.68,13.8344
kepler-1371 c,0.65,,2.005414293,0.0,Kepler-1371,0.68,0.721,5374.0,515.334,288.8314251,47.5519753,2016.0,Transit,1216.0,,-0.68,13.8344
kepler-1372 b,1.27,,1.311555568,,Kepler-1372,0.98,0.97,5677.0,1303.22,288.8865895,44.8394672,2016.0,Transit,,,0.05,15.3493
kepler-1373 b,,,1.291233083,,Kepler-1373,1.25,2.02214,6336.0,1699.46,285.7520229,39.2491731,2016.0,Transit,,,,14.0717
kepler-1374 b,,,10.65292573,,Kepler-1374,0.92,0.770767,5319.0,1078.46,291.3499783,45.1722521,2016.0,Transit,,,,15.93
kepler-1375 b,1.21,,3.3004192,0.0,Kepler-1375,1.073,1.207,6277.0,1430.84,296.2935173,43.4032189,2016.0,Transit,1442.0,,-0.1,13.7103
kepler-1376 b,1.07,,5.30880656,0.0,Kepler-1376,1.011,0.955,5914.0,868.056,286.9584368,42.541409,2016.0,Transit,1043.0,,-0.06,14.6721
kepler-1377 b,1.4,,0.7409258,0.0,Kepler-1377,0.89,0.89,5613.0,1146.1,289.1954229,46.6516055,2016.0,Transit,1906.0,,,15.8887
kepler-1378 b,,,11.95397791,,Kepler-1378,0.666,0.648181,4262.0,506.434,297.373403,40.3663986,2016.0,Transit,,,,16.0538
kepler-1379 b,1.28,,0.881841146,0.0,Kepler-1379,0.856,0.778,5260.0,971.325,293.6704404,41.4102105,2016.0,Transit,1565.0,,-0.06,15.8526
kepler-138 b,0.64,,10.31,,Kepler-138,,,,66.8624,290.3814122,43.2930645,2014.0,Transit,,,,12.4715
kepler-138 c,1.51,2.3,13.7815,0.017,Kepler-138,0.535,0.535,3841.0,66.8624,290.3814122,43.2930645,2014.0,Transit,410.0,,-0.18,12.4715
kepler-138 d,1.63,,23.08901839,,Kepler-138,0.56,0.53,3809.0,66.8624,290.3814122,43.2930645,2014.0,Transit,,,0.04,12.4715
kepler-138 e,,0.43,38.23,0.112,Kepler-138,0.535,0.535,3841.0,66.8624,290.3814122,43.2930645,2022.0,Transit Timing Variations,292.0,,-0.18,12.4715
kepler-1380 b,1.34,,10.3108245,0.0,Kepler-1380,0.967,0.893,5708.0,2462.94,288.1160421,42.4403832,2016.0,Transit,786.0,,-0.02,15.6136
kepler-1381 b,2.41,,25.3842686,0.0,Kepler-1381,1.067,0.994,6137.0,1197.04,287.5357911,48.727783,2016.0,Transit,649.0,,-0.12,15.4776
kepler-1382 b,1.08,,16.3583055,0.0,Kepler-1382,1.111,1.007,6046.0,738.261,295.3774182,39.0480365,2016.0,Transit,740.0,,0.07,12.7575
kepler-1383 b,1.16,,13.9093583,0.0,Kepler-1383,0.932,1.194,6279.0,1027.21,297.9447714,42.1918449,2016.0,Transit,910.0,,-0.54,13.7077
kepler-1384 b,,,15.3626250974,,Kepler-1384,,,,,296.2151275,39.5270248,2016.0,Transit,,,,15.446
kepler-1385 b,0.55,,2.88879862,0.0,Kepler-1385,0.945,0.854,5751.0,688.795,282.6313559,46.481022,2016.0,Transit,1187.0,,-0.14,12.8443
kepler-1386 b,1.24,,6.73972381,,Kepler-1386,1.02,1.03,5733.0,835.882,280.8233646,42.6360518,2016.0,Transit,,,0.11,14.4168
kepler-1387 b,0.78,,,,Kepler-1387,,0.712,5019.0,455.358,292.4403029,43.2093456,2016.0,Transit,,,,14.5804
kepler-1388 b,2.21,,12.2854718,0.0,Kepler-1388,0.605,0.564,3891.0,453.795,283.3360156,47.1744499,2016.0,Transit,434.0,,0.21,16.2941
kepler-1388 c,,,5.5361069757,,Kepler-1388,0.588706,0.600757,3938.0,453.795,283.3360156,47.1744499,2016.0,Transit,,,,16.2941
kepler-1388 d,2.43,,20.9568158,0.0,Kepler-1388,0.541,0.523,3903.0,453.795,283.3360156,47.1744499,2016.0,Transit,357.0,,-0.2,16.2941
kepler-1388 e,1.919,,37.6327084,,Kepler-1388,,0.48,5052.0,453.795,283.3360156,47.1744499,2016.0,Transit,,,-0.5,16.2941
kepler-1389 b,1.669,,99.2530951,,Kepler-1389,0.757,0.709,4962.0,497.093,285.7174414,44.7583487,2016.0,Transit,,,-0.11,14.6836
kepler-139 b,,,15.7711339373,,Kepler-139,0.98,1.10169,5550.0,391.038,282.3919451,43.8894167,2014.0,Transit,,,0.27,12.677
kepler-139 c,,,157.065115678,,Kepler-139,0.98,1.10169,5550.0,391.038,282.3919451,43.8894167,2014.0,Transit,,,0.27,12.677
kepler-139 d,,,7.30571223,,Kepler-139,0.98,1.10169,5550.0,391.038,282.3919451,43.8894167,2023.0,Transit,,,0.27,12.677
kepler-139 e,,378.0,1904.0,,Kepler-139,1.078,1.045,5630.0,391.038,282.3919451,43.8894167,2023.0,Radial Velocity,,,0.35,12.677
kepler-139 f,,36.0,355.0,,Kepler-139,1.078,1.045,5630.0,391.038,282.3919451,43.8894167,2025.0,Transit Timing Variations,,,0.35,12.677
kepler-1390 b,1.18,,6.48021673,,Kepler-1390,0.98,0.98,5753.0,723.431,298.6624419,48.2488659,2016.0,Transit,,,-0.01,14.4022
kepler-1391 b,,,54.4101523709,,Kepler-1391,0.98,1.77507,5579.13,1038.35,294.8309749,46.6595768,2016.0,Transit,,,0.2578,13.8283
kepler-1392 b,,,15.1413066,,Kepler-1392,,,,,288.7669819,46.3944497,2016.0,Transit,,,,15.6665
kepler-1393 b,0.7,,2.44357812,0.0,Kepler-1393,0.905,0.825,5771.0,544.456,284.4594558,40.1424756,2016.0,Transit,1247.0,,-0.28,13.3324
kepler-1394 b,0.77,,3.937713,0.0,Kepler-1394,1.32,1.55,6717.0,640.409,283.4532068,45.0840729,2016.0,Transit,1585.0,,,11.7144
kepler-1395 b,1.18,,3.78470649,0.0,Kepler-1395,1.302,1.95,6461.0,492.894,292.3374945,47.6641732,2016.0,Transit,1747.0,,-0.14,12.536
kepler-1396 b,1.78,,18.2206024,0.0,Kepler-1396,1.117,1.262,5951.0,1066.46,294.3363936,44.9182296,2016.0,Transit,786.0,,0.14,14.5271
kepler-1397 b,1.61,,47.4497134,0.0,Kepler-1397,1.042,1.126,6007.0,1198.25,299.6758812,47.0758234,2016.0,Transit,551.0,,0.0,14.0909
kepler-1398 b,,,2.7881793,,Kepler-1398,1.11,1.32637,5998.2,852.204,294.8661073,48.6389923,2016.0,Transit,,,-0.073,13.6605
kepler-1398 c,1.03,,4.13827595,,Kepler-1398,1.13,1.18,6126.0,852.204,294.8661073,48.6389923,2016.0,Transit,,,0.01,13.6605
kepler-1399 b,1.31,,1.638653058,0.0,Kepler-1399,1.039,0.981,6119.0,1385.7,293.3116962,46.0416516,2016.0,Transit,1609.0,,-0.16,15.5074
kepler-14 b,12.621334,2440.9344,6.790123,,Kepler-14,1.318,2.09,6395.0,,287.708814,47.33305,2011.0,Transit,1605.0,,0.12,
kepler-140 b,,,3.254277742,,Kepler-140,1.15,1.19153,6108.41,583.859,287.3694056,46.7681473,2014.0,Transit,,,-0.039,12.9412
kepler-140 c,1.694,,91.3515867,,Kepler-140,1.044,1.172,6024.0,583.859,287.3694056,46.7681473,2014.0,Transit,,,-0.03,12.9412
kepler-1400 b,,,9.06687613,,Kepler-1400,0.8,0.710105,4912.0,752.237,286.2716827,45.4408055,2016.0,Transit,,,,15.7129
kepler-1401 b,1.37,,11.20066445,0.0,Kepler-1401,0.982,0.898,6038.0,1425.43,287.4660334,40.75842,2016.0,Transit,808.0,,-0.28,14.9721
kepler-1402 b,1.626,,,,Kepler-1402,,1.928,5275.0,1493.64,291.8478341,48.9681664,2016.0,Transit,,,,14.6083
kepler-1403 b,,,5.19492747,,Kepler-1403,1.11,1.41138,6019.0,2163.9,290.8676391,38.9600779,2016.0,Transit,,,,15.5907
kepler-1404 b,2.017,,,,Kepler-1404,,0.822,5384.0,962.183,296.0094827,50.4983929,2016.0,Transit,,,,15.7029
kepler-1405 b,3.08,,28.2274184,0.0,Kepler-1405,0.929,0.842,5864.0,1530.3,295.6848822,39.2561274,2016.0,Transit,564.0,,-0.28,15.8175
kepler-1406 b,,,11.6289844436,,Kepler-1406,,,,572.403,292.0818824,38.9149472,2016.0,Transit,,,,13.3819
kepler-1407 b,2.16,,20.0711504,0.0,Kepler-1407,1.101,1.122,6086.0,1396.41,283.9424274,41.4715535,2016.0,Transit,736.0,,0.06,14.8925
kepler-1408 b,,,2.99792926,,Kepler-1408,1.12,1.77996,6037.31,535.048,282.6998783,45.4257884,2016.0,Transit,,,-0.1035,11.9622
kepler-1409 b,1.05,,0.7648651,0.0,Kepler-1409,0.77,0.79,5187.0,694.89,290.0847389,51.2086144,2016.0,Transit,1665.0,,,15.172
kepler-141 b,0.73,,3.10762684,0.0,Kepler-141,0.824,0.782,4908.0,301.183,297.9707271,47.7316041,2014.0,Transit,968.0,,0.22,13.4205
kepler-141 c,1.5,,7.0106324,0.0,Kepler-141,0.824,0.782,4908.0,301.183,297.9707271,47.7316041,2014.0,Transit,738.0,,0.22,13.4205
kepler-1410 b,,,60.86616955,,Kepler-1410,,,4031.25,,290.5102933,38.743501,2016.0,Transit,,,-0.0345,15.9484
kepler-1411 b,3.1,,86.1151,0.0,Kepler-1411,1.07,0.88,5924.0,1660.48,286.3615236,42.9638889,2016.0,Transit,392.0,,,15.7709
kepler-1412 b,0.83,,3.6146051,,Kepler-1412,1.06,1.27,5880.0,755.678,292.1801539,49.202481,2016.0,Transit,,,0.04,13.1928
kepler-1413 b,1.92,,13.1829642,0.0,Kepler-1413,0.928,0.827,5382.0,1167.49,294.3416065,46.4987624,2016.0,Transit,661.0,,0.1,16.2846
kepler-1414 b,1.196,,,,Kepler-1414,,0.797,5080.0,570.835,284.9285796,42.4223085,2016.0,Transit,,,,14.8607
kepler-1415 b,1.33,,0.63642408,0.0,Kepler-1415,0.988,0.885,5343.0,1043.56,285.1568015,47.8732512,2016.0,Transit,1848.0,,0.44,15.7209
kepler-1416 b,1.2,,1.49515,0.0,Kepler-1416,0.9,1.16,5692.0,949.59,298.6634624,43.8940593,2016.0,Transit,1709.0,,,14.226
kepler-1417 b,,,20.3504704,,Kepler-1417,1.03,1.58688,5750.42,991.845,290.9498966,40.605197,2016.0,Transit,,,-0.307,13.8576
kepler-1418 b,,,22.47633948,,Kepler-1418,,,,,282.9975322,41.67859,2016.0,Transit,,,,15.2813
kepler-1419 b,2.6,,42.52146,0.0,Kepler-1419,1.01,0.9,5900.0,1498.58,292.2545917,37.971376,2016.0,Transit,506.0,,,15.7181
kepler-142 b,1.86,,2.0241346,0.0,Kepler-142,0.988,1.14,5744.0,548.686,295.1190067,48.4813635,2014.0,Transit,1540.0,,,13.197
kepler-142 c,2.459,,4.761705259,,Kepler-142,0.978,1.101,5759.0,548.686,295.1190067,48.4813635,2014.0,Transit,,,0.05,13.197
kepler-142 d,1.526,,,,Kepler-142,,1.116,5759.0,548.686,295.1190067,48.4813635,2014.0,Transit,,,,13.197
kepler-1420 b,1.431,,,,Kepler-1420,,0.919,5288.0,1054.37,296.2038586,42.7778165,2016.0,Transit,,,,15.8488
kepler-1421 b,0.93,,6.9131112,,Kepler-1421,1.25,1.42,6335.0,783.401,286.5806115,48.5442312,2016.0,Transit,,,0.05,12.7261
kepler-1422 b,2.02,,18.6051942,,Kepler-1422,1.15,1.23,6194.0,2465.84,293.8902214,48.3360926,2016.0,Transit,,,0.0,15.6194
kepler-1423 b,2.84,,23.9553986,0.0,Kepler-1423,0.926,1.781,5011.0,,288.2437481,41.1100655,2016.0,Transit,741.0,,0.07,14.5581
kepler-1424 b,1.74,,29.6099055,0.0,Kepler-1424,0.977,1.122,5812.0,661.421,290.9916648,40.2293347,2016.0,Transit,629.0,,0.0,13.5925
kepler-1425 b,,,14.4540329,,Kepler-1425,0.96,1.74686,5490.38,863.873,294.9510368,43.0124348,2016.0,Transit,,,-0.1303,13.5629
kepler-1426 b,,,14.2563272,,Kepler-1426,,,,1697.81,292.5457096,49.4168981,2016.0,Transit,,,,15.1663
kepler-1427 b,1.09,,0.968972376,0.0,Kepler-1427,1.075,1.007,5853.0,,295.3496546,45.1145372,2016.0,Transit,1851.0,,0.18,15.4816
kepler-1428 b,1.26,,10.676126,0.0,Kepler-1428,1.015,1.046,5952.0,1530.32,297.6422563,49.594958,2016.0,Transit,871.0,,,13.5234
kepler-1429 b,1.19,,4.48487493,0.0,Kepler-1429,1.093,1.033,6210.0,1214.09,285.3662532,49.0448172,2016.0,Transit,1188.0,,-0.1,14.8316
kepler-143 b,2.22,,16.00754,0.0,Kepler-143,1.008,1.06,6002.0,809.467,298.0676519,49.412541,2014.0,Transit,772.0,,,13.7057
kepler-143 c,2.36,,27.08247084,0.0,Kepler-143,0.987,1.037,6010.0,809.467,298.0676519,49.412541,2014.0,Transit,644.0,,-0.16,13.7057
kepler-1430 b,1.03,,2.46050993,0.0,Kepler-1430,0.62,0.634,4811.0,875.523,289.6975391,43.3719581,2016.0,Transit,969.0,,-0.58,15.2824
kepler-1431 b,1.47,,5.86601526,,Kepler-1431,1.03,1.03,5806.0,1623.24,292.6583919,49.8651522,2016.0,Transit,,,0.07,15.2711
kepler-1432 b,2.0,,23.91103,0.0,Kepler-1432,1.14,1.07,6325.0,2171.87,295.5241011,49.8295211,2016.0,Transit,701.0,,,15.3702
kepler-1433 b,1.29,,4.135906,0.0,Kepler-1433,1.08,0.99,6152.0,,287.3634559,49.4568649,2016.0,Transit,1184.0,,,
kepler-1434 b,,,8.05337912,,Kepler-1434,1.13,2.44642,6062.77,775.529,295.5384415,51.2030002,2016.0,Transit,,,0.1406,12.0421
kepler-1435 b,,,4.4534236845,,Kepler-1435,1.26,1.41209,6360.19,704.211,291.1732806,44.9210836,2016.0,Transit,,,-0.1289,12.8692
kepler-1436 b,1.31,,9.705716,,Kepler-1436,1.06,1.09,5972.0,2530.62,297.711553,46.7679816,2016.0,Transit,,,-0.01,14.9099
kepler-1437 b,1.32,,10.9295461,0.0,Kepler-1437,0.966,0.871,5796.0,2101.69,291.8649164,49.325869,2016.0,Transit,773.0,,-0.12,15.6607
kepler-1438 b,0.86,,2.31942009,0.0,Kepler-1438,0.891,0.848,5551.0,1154.13,289.289819,40.6816262,2016.0,Transit,1241.0,,-0.1,14.861
kepler-1439 b,,,8.0740058633,,Kepler-1439,0.443791,0.447421,3548.0,225.393,285.7396971,40.9798688,2016.0,Transit,,,,16.0979
kepler-144 b,1.61,,5.88528169,,Kepler-144,1.24,1.47,6274.0,384.917,281.9156128,42.7755535,2014.0,Transit,,,0.03,11.9438
kepler-144 c,1.309,,,,Kepler-144,,1.178,6182.0,384.917,281.9156128,42.7755535,2014.0,Transit,,,,11.9438
kepler-1440 b,1.39,,39.859484,0.0,Kepler-1440,0.95,1.073,5906.0,1115.35,285.3469737,48.3122283,2016.0,Transit,570.0,,-0.16,14.1018
kepler-1441 b,,,39.43986217,,Kepler-1441,0.98,1.55943,5572.13,1110.48,293.7191177,43.1245756,2016.0,Transit,,,0.0678,14.2567
kepler-1442 b,3.93,,81.4162941,,Kepler-1442,1.34,1.44,6394.0,608.68,291.2556226,48.8469171,2016.0,Transit,,,0.26,12.0303
kepler-1443 b,,,2.41810158,,Kepler-1443,1.26,1.57722,6347.0,593.646,283.4357392,47.0667983,2016.0,Transit,,,,12.212
kepler-1444 b,,,33.4203001,,Kepler-1444,1.01,1.05926,5677.43,319.675,285.3306799,42.0405016,2016.0,Transit,,,0.151,12.2578
kepler-1445 b,0.87,,10.60052251,0.0,Kepler-1445,1.012,1.092,6086.0,506.357,280.2495197,43.9150665,2016.0,Transit,911.0,,-0.14,12.4184
kepler-1446 b,0.753,,,,Kepler-1446,,0.697,4848.0,152.075,289.4240357,46.7260823,2016.0,Transit,,,,12.4086
kepler-1447 b,3.068,,,,Kepler-1447,,0.99,5546.0,890.296,289.6434285,50.727016,2016.0,Transit,,,,14.6643
kepler-1448 b,1.61,,12.27065865,,Kepler-1448,0.95,0.93,5774.0,768.903,287.8674123,50.5955846,2016.0,Transit,,,-0.16,14.3796
kepler-1449 b,1.72,,13.2274528,0.0,Kepler-1449,1.237,1.155,6269.0,2006.48,288.2317293,50.5678345,2016.0,Transit,867.0,,0.21,15.0306
kepler-145 b,2.224,,22.95068896,,Kepler-145,1.31,1.871,6110.0,566.85,291.3877397,44.5290465,2013.0,Transit,,,0.06,11.8746
kepler-145 c,,25.1,42.88248,,Kepler-145,1.31,1.849,,566.85,291.3877397,44.5290465,2013.0,Transit,,,,11.8746
kepler-1450 b,1.94,,54.5091549,0.0,Kepler-1450,0.621,0.603,4406.0,505.829,294.5536825,45.0813011,2016.0,Transit,308.0,,-0.34,15.4892
kepler-1451 b,3.35,,35.622233,,Kepler-1451,1.0,0.99,5782.0,1058.72,293.4464227,40.4098813,2016.0,Transit,,,0.01,15.2999
kepler-1452 b,,,42.91411148,,Kepler-1452,1.07,2.20098,5892.3,996.32,292.422792,38.2662824,2016.0,Transit,,,-0.1458,13.0714
kepler-1453 b,,,47.1613426975,,Kepler-1453,0.99,0.904492,5600.0,1196.04,286.1255037,47.9475586,2016.0,Transit,,,,15.5278
kepler-1454 b,1.7,,47.0319479,0.0,Kepler-1454,0.824,0.764,5544.0,780.566,284.2233265,48.8317229,2016.0,Transit,437.0,,-0.36,14.8994
kepler-1455 b,,,49.2765566,,Kepler-1455,0.574333,0.583405,3919.0,357.621,294.0830662,50.5027572,2016.0,Transit,,,,15.8657
kepler-1456 b,,,18.1373788,,Kepler-1456,0.64,0.653437,4116.0,370.312,286.9453381,43.8228023,2016.0,Transit,,,,15.445
kepler-1457 b,,,51.1100085839,,Kepler-1457,1.05,1.25146,5841.0,889.885,283.7705481,42.027203,2016.0,Transit,,,,14.0283
kepler-1458 b,2.425,,47.9872764,,Kepler-1458,0.89,0.813,5414.0,544.45,283.2115971,41.0380135,2016.0,Transit,,,0.05,14.1996
kepler-1459 b,1.58,,62.8691611,0.0,Kepler-1459,0.821,0.868,4947.0,455.479,282.4229401,46.0139761,2016.0,Transit,377.0,,0.36,14.5519
kepler-146 b,3.4,,31.15857,0.0,Kepler-146,1.09,1.12,6212.0,716.797,294.1107631,38.7102222,2014.0,Transit,648.0,,,13.8031
kepler-146 c,3.13,,76.732171,,Kepler-146,,1.208,5948.0,716.797,294.1107631,38.7102222,2014.0,Transit,,,,13.8031
kepler-1460 b,1.89,,29.9633247,0.0,Kepler-1460,0.624,0.638,4463.0,553.218,285.5577888,44.0108221,2016.0,Transit,391.0,,-0.28,15.9191
kepler-1461 b,,,29.3494738767,,Kepler-1461,0.78,0.682284,4821.0,679.106,285.8305091,43.198377,2016.0,Transit,,,,15.6949
kepler-1462 b,3.82,,65.6488341,,Kepler-1462,1.0,1.0,5756.0,1017.82,296.397542,42.3969273,2016.0,Transit,,,0.06,15.8562
kepler-1463 b,,,25.1573134114,,Kepler-1463,0.98,1.19033,5578.0,1687.47,294.4872785,42.0069064,2016.0,Transit,,,,15.7236
kepler-1464 b,,,31.7785247624,,Kepler-1464,1.0,1.70936,5654.0,1151.73,287.2356828,38.7540824,2016.0,Transit,,,,14.1296
kepler-1464 c,1.546,,,,Kepler-1464,,1.666,5845.0,1151.73,287.2356828,38.7540824,2016.0,Transit,,,,14.1296
kepler-1465 b,,,31.82763672,,Kepler-1465,0.72,0.748108,4585.0,359.497,289.8194222,51.9048541,2016.0,Transit,,,,14.42
kepler-1466 b,1.31,,31.1748311,0.0,Kepler-1466,1.003,0.921,6086.0,631.949,289.8312418,44.6098415,2016.0,Transit,585.0,,-0.26,13.8694
kepler-1467 b,2.99,,47.0569043,0.0,Kepler-1467,0.821,0.746,5290.0,852.888,295.0485389,45.3426781,2016.0,Transit,413.0,,-0.22,15.5207
kepler-1468 b,,,8.23989847,,Kepler-1468,1.03,1.84166,5774.53,1899.24,293.5198289,41.2773671,2016.0,Transit,,,0.2041,14.9515
kepler-1468 c,1.07,,3.54553021,0.0,Kepler-1468,1.019,0.976,5973.0,1899.24,293.5198289,41.2773671,2016.0,Transit,1215.0,,-0.06,14.9515
kepler-1468 d,3.33187146,,19.59059906,,Kepler-1468,1.072,1.496,5794.0,1899.24,293.5198289,41.2773671,2021.0,Transit,,,0.14,14.9515
kepler-1469 b,2.37,,21.8634638,0.0,Kepler-1469,0.885,0.789,5383.0,1159.3,293.8213286,39.3913385,2016.0,Transit,551.0,,-0.1,15.9891
kepler-147 b,1.33,,12.61102,0.0,Kepler-147,0.98,1.19,5894.0,1042.02,287.9757213,39.087168,2014.0,Transit,877.0,,,13.9151
kepler-147 c,,,33.41573724,,Kepler-147,1.07,1.57208,5887.37,1042.02,287.9757213,39.087168,2014.0,Transit,,,-0.01,13.9151
kepler-1470 b,1.15,,16.2951259,0.0,Kepler-1470,0.781,0.812,4915.0,590.601,288.6949475,39.8830802,2016.0,Transit,574.0,,0.16,15.0436
kepler-1471 b,,,3.63898953,,Kepler-1471,0.96,0.875927,5499.89,978.678,289.6649171,50.0200612,2016.0,Transit,,,-0.205,15.246
kepler-1471 c,1.46,,11.6044694,0.0,Kepler-1471,0.794,0.848,5881.0,978.678,289.6649171,50.0200612,2023.0,Transit,784.0,,-0.66,15.246
kepler-1472 b,,,38.1309917068,,Kepler-1472,1.14,1.46026,6083.0,1479.14,294.8526163,49.0574468,2016.0,Transit,,,,14.5898
kepler-1473 b,1.53,,14.42735088,0.0,Kepler-1473,1.0,1.04,5929.0,652.253,290.6365144,48.9961494,2016.0,Transit,783.0,,-0.06,13.3679
kepler-1474 b,2.2,,36.4337867,0.0,Kepler-1474,0.938,1.099,5566.0,1180.9,294.6940261,45.866809,2016.0,Transit,561.0,,0.14,15.2172
kepler-1475 b,,,82.175197,,Kepler-1475,1.14,1.20553,6084.0,1568.38,295.9482766,44.753096,2016.0,Transit,,,,15.2775
kepler-1476 b,,,10.35857039,,Kepler-1476,0.96,0.841223,5472.0,1002.74,284.5320743,43.9898971,2016.0,Transit,,,,15.4086
kepler-1477 b,,,11.55532445,,Kepler-1477,0.85,1.03644,5064.0,680.828,281.2985305,42.6856727,2016.0,Transit,,,,14.5763
kepler-1478 b,1.73,,26.0840594,,Kepler-1478,1.04,1.06,5904.0,1845.58,293.1650085,41.746184,2016.0,Transit,,,0.03,15.3994
kepler-1479 b,1.69,,14.53260546,0.0,Kepler-1479,1.019,0.932,6003.0,728.668,285.7119953,49.7067574,2016.0,Transit,746.0,,-0.14,13.7331
kepler-148 b,,,1.729367077,,Kepler-148,0.83,0.850564,5019.0,791.163,289.7861626,46.8588176,2014.0,Transit,,,,15.3362
kepler-148 c,3.6,,4.180043,,Kepler-148,,0.851,5272.0,791.163,289.7861626,46.8588176,2014.0,Transit,,,,15.3362
kepler-148 d,8.95,,51.84688575,0.0,Kepler-148,0.893,0.838,5271.0,791.163,289.7861626,46.8588176,2016.0,Transit,416.0,,0.14,15.3362
kepler-1480 b,1.67,,22.12679948,,Kepler-1480,0.85,0.81,5156.0,500.892,291.9998055,49.3018321,2016.0,Transit,,,0.07,14.4824
kepler-1481 b,,,5.94228603,,Kepler-1481,0.75,0.769856,4693.28,459.076,289.4390075,49.7312226,2016.0,Transit,,,-0.079,14.7429
kepler-1482 b,1.0,,12.25384348,0.0,Kepler-1482,0.931,0.82,5413.0,567.556,285.3138209,48.72527,2016.0,Transit,678.0,,0.07,13.7295
kepler-1483 b,1.07,,9.5085156,0.0,Kepler-1483,1.069,1.013,6328.0,1273.78,295.4097409,42.1507935,2016.0,Transit,937.0,,-0.28,14.4231
kepler-1484 b,,,30.4547139,,Kepler-1484,0.99,2.65525,5599.53,2879.83,292.6842738,38.1262604,2016.0,Transit,,,-0.4468,15.2474
kepler-1485 b,,,19.91586679,,Kepler-1485,1.1,1.28054,5993.0,615.66,298.0954404,44.7370612,2016.0,Transit,,,,13.1796
kepler-1486 b,2.26,,54.6495759,0.0,Kepler-1486,1.079,1.066,6112.0,1769.14,290.5903907,45.4396955,2016.0,Transit,517.0,,0.02,15.2937
kepler-1487 b,5.05,,7.31945294,0.0,Kepler-1487,1.801,3.955,5745.0,1014.62,295.4980737,38.6444499,2016.0,Transit,1682.0,,0.4,13.4508
kepler-1487 c,3.02,,35.8022845,0.0,Kepler-1487,1.035,0.956,6444.0,1014.62,295.4980737,38.6444499,2023.0,Transit,599.0,,-0.5,13.4508
kepler-1488 b,1.59,,39.8189932,0.0,Kepler-1488,0.992,1.135,6035.0,905.825,286.6464265,49.9377735,2016.0,Transit,594.0,,-0.14,13.0767
kepler-1488 c,1.2,,6.15828666,0.0,Kepler-1488,1.003,1.524,5710.0,905.825,286.6464265,49.9377735,2021.0,Transit,1212.0,,0.0,13.0767
kepler-1489 b,,,82.292865,,Kepler-1489,1.0,1.30799,5655.0,1283.05,281.2957984,44.4654063,2016.0,Transit,,,,14.8084
kepler-1489 c,0.51,,0.680741,,Kepler-1489,0.977,0.957,5565.53,1283.05,281.2957984,44.4654063,2024.0,Transit,,G,,14.8084
kepler-149 b,4.14,,29.1989838,,Kepler-149,0.92,0.9,5377.0,571.034,285.8537014,38.3840916,2014.0,Transit,,,0.17,14.0194
kepler-149 c,2.66,,55.3285,0.0,Kepler-149,0.909,1.58,5363.0,571.034,285.8537014,38.3840916,2014.0,Transit,567.0,,,14.0194
kepler-149 d,7.31,,160.0172,0.0,Kepler-149,0.909,1.58,5363.0,571.034,285.8537014,38.3840916,2014.0,Transit,397.0,,,14.0194
kepler-1490 b,2.59,,92.4362973,0.0,Kepler-1490,0.806,0.745,5598.0,862.92,295.6935734,42.6094543,2016.0,Transit,349.0,,-0.48,15.4179
kepler-1491 b,1.39,,16.5861762,0.0,Kepler-1491,1.01,0.917,5880.0,2065.59,293.6297645,45.7406293,2016.0,Transit,695.0,,-0.06,15.5695
kepler-1491 c,3.12599993,,61.5685997,,Kepler-1491,0.991,1.389,5626.0,2065.59,293.6297645,45.7406293,2023.0,Transit,,,0.14,15.5695
kepler-1492 b,3.65,,16.7525077,0.0,Kepler-1492,0.955,1.802,4807.0,331.553,288.5970695,41.0363254,2016.0,Transit,801.0,,0.48,14.4962
kepler-1493 b,,,15.0219784,,Kepler-1493,,,5743.16,555.051,288.5493683,38.5651973,2016.0,Transit,,,-0.05,13.5532
kepler-1494 b,3.34,,91.080482,0.0,Kepler-1494,1.014,1.008,5915.0,1285.48,282.6573891,43.1625334,2016.0,Transit,415.0,,-0.02,15.217
kepler-1495 b,,,85.27405516,,Kepler-1495,,,,1355.54,286.1306907,38.7795494,2016.0,Transit,,,,15.6247
kepler-1496 b,1.79,,64.6588017,0.0,Kepler-1496,1.096,1.035,6197.0,1307.66,293.9739359,45.3507167,2016.0,Transit,487.0,,-0.08,14.6819
kepler-1497 b,1.69,,8.74199772,0.0,Kepler-1497,1.003,0.998,5878.0,,296.196155,45.6343124,2016.0,Transit,898.0,,-0.02,15.3761
