pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype,star_metallicity,star_gaia_magnitude
toi-561 c,2.878,5.4,10.779,0.06,TOI-561,0.785,0.849,5455.0,85.799,148.1851516,6.216103,2020.0,Transit,,G9 V,-0.33,10.0128
toi-561 d,2.87813921,,25.7122157303,,TOI-561,,0.840576,5391.0,85.799,148.1851516,6.216103,2020.0,Transit,331.79,,,10.0128
toi-561 e,3.18580584,,,,TOI-561,,0.840576,5391.0,85.799,148.1851516,6.216103,2020.0,Transit,156.67,,,10.0128
toi-5614 b,3.23281,,4.172202,,TOI-5614,,0.73,4313.0,223.016,189.4323154,69.4584273,2026.0,Transit,817.0,,,13.7566
toi-5616 b,10.32937773,,2.00270301228,,TOI-5616,,0.65,3927.0,390.415,184.9016378,48.6832895,2024.0,Transit,857.7,,,15.6306
toi-5624 b,2.27887,,3.3903593,,TOI-5624,,0.83,5342.0,101.913,180.8443476,49.2512257,2026.0,Transit,1108.0,,,10.5425
toi-5624 c,2.23283,,7.8854383,,TOI-5624,,0.83,5342.0,101.913,180.8443476,49.2512257,2026.0,Transit,873.0,,,10.5425
toi-5624 d,3.584,4.9,13.731468,0.0,TOI-5624,0.858,0.82,5327.0,101.913,180.8443476,49.2512257,2026.0,Transit,712.6,,-0.023,10.5425
toi-5624 e,3.247,8.9,21.489936,0.0,TOI-5624,0.858,0.82,5327.0,101.913,180.8443476,49.2512257,2026.0,Transit,613.8,,-0.023,10.5425
toi-5624 f,,13.0,45.37,0.0,TOI-5624,0.858,0.82,5327.0,101.913,180.8443476,49.2512257,2026.0,Transit Timing Variations,478.5,,-0.023,10.5425
toi-5630 b,2.37117553,,3.22118452536,,TOI-5630,,0.933361,5385.64,134.047,236.4538532,40.3748618,2026.0,Transit,,,,10.8304
toi-5634 a b,9.6722,,2.2054776,,TOI-5634 A,,0.53,3770.0,306.144,175.6436366,20.9652921,2024.0,Transit,788.0,,,15.9978
toi-564 b,7.7514065,,1.65114558035,,TOI-564,,1.12196,5752.0,199.581,130.2951535,-16.0363275,2020.0,Transit,1574.49,,,11.1424
toi-5678 b,4.91,20.0,47.73022,0.14,TOI-5678,0.905,0.938,5485.0,165.393,47.3841872,-34.1984808,2023.0,Transit,513.0,G7 V,0.0,11.1483
toi-5688 a b,10.3,124.0,2.94815527,0.128,TOI-5688 A,0.6,0.57,3713.0,226.318,266.9231001,47.7050486,2024.0,Transit,742.0,,0.47,15.324
toi-5704 b,3.34096413,,3.77110663034,,TOI-5704,,0.757521,4590.0,89.637,169.8248694,44.9890782,2023.0,Transit,852.91,,,11.2746
toi-5713 b,1.8605473,,10.44198961033,,TOI-5713,,0.292425,3271.0,40.8668,208.4587323,52.6027628,2024.0,Transit,317.82,,,14.0104
toi-5716 b,0.96,,6.7663,,TOI-5716,0.19,0.22,3436.0,39.4122,201.9007989,73.1774325,2025.0,Transit,400.0,,-0.54,14.3739
toi-5720 b,1.39321904,,1.43446023837,,TOI-5720,,0.37103,3421.0,35.8256,170.3135774,25.2732942,2024.0,Transit,691.29,,,12.8215
toi-5726.01,2.554,,5.491125215,,TOI-5726,1.06,1.106,5874.0,108.848,123.3950504,68.5745899,2024.0,Transit,,,,9.58034
toi-5728 b,1.31,,11.49761,,TOI-5728,0.36,0.37,3419.0,54.7045,260.3509363,67.5504212,2025.0,Transit,382.0,,-0.12,13.6849
toi-5734 b,2.76,,6.1842161,,TOI-5734,0.736,0.708,4790.0,32.5102,111.2558179,37.2311218,2026.0,Transit,788.0,,-0.09,9.19044
toi-5736 b,1.69217745,,0.64898680327,,TOI-5736,,0.579535,3949.0,92.3604,213.7583971,49.5009379,2025.0,Transit,1202.09,,,12.9042
toi-5777 b,2.51967,,6.9171675,,TOI-5777,,0.67,4208.0,114.277,141.002239,82.8586961,2026.0,Transit,602.0,,,12.6537
toi-5786 b,6.85813,,12.7791964,,TOI-5786,,1.33,6280.0,192.475,293.3223259,30.7042468,2025.0,Transit,1225.0,,,10.1378
toi-5788 b,1.528,3.72,6.340758,0.061,TOI-5788,0.87,0.87,5615.0,97.614,287.4249017,31.7615284,2026.0,Transit,910.0,,-0.32,10.0551
toi-5788 c,1.99447,,16.2134274,,TOI-5788,,0.86,5664.0,97.614,287.4249017,31.7615284,2026.0,Transit,696.0,,,10.0551
toi-5789 b,,2.12,2.76369,0.0,TOI-5789,0.821,0.833,5185.0,20.4581,302.7734475,16.1897138,2026.0,Radial Velocity,1201.0,K1 V,-0.12,7.09999
toi-5789 c,2.53704,,12.9256051,,TOI-5789,,0.88,5132.0,20.4581,302.7734475,16.1897138,,Transit,478.0,,,7.09999
toi-5789 d,,4.29,29.65,0.096,TOI-5789,0.821,0.833,5185.0,20.4581,302.7734475,16.1897138,2026.0,Radial Velocity,545.0,K1 V,-0.12,7.09999
toi-5789 e,,11.61,62.98,0.071,TOI-5789,0.821,0.833,5185.0,20.4581,302.7734475,16.1897138,2026.0,Radial Velocity,424.0,K1 V,-0.12,7.09999
toi-5795 b,5.62,23.66,6.1406325,0.25,TOI-5795,0.901,1.082,5715.0,156.53,304.868782,-7.5476595,2025.0,Transit,1136.78,G3 V,-0.27,10.6376
toi-5799 b,1.625,,4.164753,,TOI-5799,0.337,0.328,3514.0,27.8123,301.630179,15.9891418,2024.0,Transit,518.01,,-0.08,12.3212
toi-5799 c,1.76,,14.010449,,TOI-5799,0.325,0.321,3452.0,27.8123,301.630179,15.9891418,2025.0,Transit,337.0,M2 V,0.01,12.3212
toi-5800 b,2.83310167,,2.6282605673,,TOI-5800,,0.817034,4821.0,42.9052,305.0655462,-7.4119237,2025.0,Transit,1037.82,,,9.21824
toi-5803 b,3.2732,,5.38305,,TOI-5803,0.87,0.7625,5134.0,84.0126,327.2487497,6.2781777,2023.0,Transit,678.87,,,10.4782
