pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
hd 114082 b,11.2089807,2542.627256,109.75,0.395,HD 114082,1.47,1.49,6651.0,95.3906,197.3171237,-60.3084347,2022.0,Radial Velocity,,F3 V
hd 121504 b,,388.0,63.33,0.03,HD 121504,1.18,,6075.0,41.6592,209.3199062,-56.0404085,2003.0,Radial Velocity,,F
hd 12484 b,,947.1334,58.83,0.07,HD 12484,1.01,,5920.0,48.3367,30.6115322,2.8158078,2016.0,Radial Velocity,,F8
hd 128717 b,,6293.0024586,3420.0,0.85,HD 128717,1.212,1.248,6210.0,73.636,219.0881687,57.5609512,2025.0,Astrometry,,F
hd 132563 b,,473.547,1544.0,0.22,HD 132563,1.231,1.29577,6289.0,105.155,224.5892892,44.0428571,2011.0,Radial Velocity,,F
hd 136118 b,,5244.1687155,1191.0,0.35,HD 136118,1.21,,6097.0,51.4359,229.7306046,-1.5922913,2022.0,Radial Velocity,,F7 V
hd 13908 b,,274.91,19.382,0.02,HD 13908,1.29,1.67,6255.0,79.5515,34.5609102,65.5941901,2013.0,Radial Velocity,,F8 V
hd 13908 c,,1630.4,931.0,0.12,HD 13908,1.29,1.67,6255.0,79.5515,34.5609102,65.5941901,2013.0,Radial Velocity,,F8 V
hd 142 b,,397.27,349.7,0.17,HD 142,1.232,1.47,6245.0,26.1853,1.5836771,-49.0753625,2001.0,Radial Velocity,,F
hd 142 c,,1684.4,6005.0,0.21,HD 142,1.232,1.47,6245.0,26.1853,1.5836771,-49.0753625,2012.0,Radial Velocity,,F
hd 142415 b,,515.0,386.3,0.5,HD 142415,1.03,,6045.0,35.5318,239.418989,-60.2006948,2003.0,Radial Velocity,,F
hd 143105 b,,384.5743,2.1974,0.07,HD 143105,1.51,,6380.0,46.7789,238.4023547,68.7199779,2016.0,Radial Velocity,,F5
hd 143811 ab b,,1779.8390792,120000.0,0.23,HD 143811 A,1.3,,6751.0,136.608,240.8891972,-30.1371574,2025.0,Imaging,1042.0,F
hd 145377 b,,1913.3366,103.95,0.31,HD 145377,1.2,1.05,6014.0,53.4884,242.9019658,-27.0781199,2008.0,Radial Velocity,,F
